ID_DESARROLLADOR,Nombre Desarrollador
DES_0428,LSP Games
DES_0429,ASCII Media Works
DES_0430,1C Company
DES_0431,Coconuts Japan
DES_0432,Arika
DES_0433,Marvel Entertainment
DES_0434,Ertain
DES_0435,Prototype
DES_0436,Phantagram
DES_0437,The Learning Company
DES_0438,TechnoSoft
DES_0439,MLB.com
DES_0440,Vap
DES_0441,Misawa
DES_0442,Yeti
DES_0443,Dusenberry Martin Racing
DES_0444,Navarre Corp
DES_0445,Pow
DES_0446,MediaQuest
DES_0447,Team17 Software
DES_0448,Max Five
DES_0449,Tradewest
DES_0450,Comfort
DES_0451,Milestone S.r.l
DES_0452,Pony Canyon
DES_0453,Riverhillsoft
DES_0454,Summitsoft
DES_0455,Playmore
DES_0456,Kool Kizz
DES_0457,Monte Christo Multimedia
DES_0458,TopWare Interactive
DES_0459,Legacy Interactive
DES_0460,Cloud Imperium Games Corporation
DES_0461,Flashpoint Games
DES_0462,CyberFront
DES_0463,Alawar Entertainment
DES_0464,Societa
DES_0465,Interchannel
DES_0466,Experience Inc.
DES_0467,Sonnet
DES_0468,Virtual Play Games
DES_0469,Zenrin
DES_0470,Iceberg Interactive
DES_0471,Ivolgamus
DES_0472,MC2 Entertainment
DES_0473,2D Boy
DES_0474,Games Workshop
DES_0475,Kando Games
DES_0476,Office Create
DES_0477,Maximum Family Games
DES_0478,Fields
DES_0479,Gearbox Software
DES_0480,Princess Soft
DES_0481,Extreme Entertainment Group
DES_0482,Big Fish Games
DES_0483,Berkeley
DES_0484,Mamba Games
DES_0485,Fuji
DES_0486,FuRyu Corporation
DES_0487,Her Interactive
DES_0488,imageepoch Inc.
DES_0489,Just Flight
DES_0490,Kamui
DES_0491,ASK
DES_0492,Cygames
DES_0493,Introversion Software
DES_0494,49Games
DES_0495,KSS
DES_0496,dramatic create
DES_0497,TGL
DES_0498,KID
DES_0499,Quinrose
DES_0500,Sold Out
DES_0501,Encore
DES_0502,G.Rev
DES_0503,Sunflowers
DES_0504,Headup Games
DES_0505,Sweets
DES_0506,Kokopeli Digital Studios
DES_0507,id Software
DES_0508,Nexon
DES_0509,BushiRoad
DES_0510,Devolver Digital
DES_0511,Number None
DES_0512,Tryfirst
DES_0513,GN Software
DES_0514,Yuke's
DES_0515,Strategy First
DES_0516,Lexicon Entertainment
DES_0517,Paon Corporation
DES_0518,Kids Station
DES_0519,Licensed 4U
DES_0520,GOA
DES_0521,7G//AMES
DES_0522,King Records
DES_0523,Minato Station
DES_0524,Graphsim Entertainment
DES_0525,Easy Interactive
DES_0526,Gaga
DES_0527,Yamasa Entertainment
DES_0528,Plenty
DES_0529,Views
DES_0530,Blue Byte
DES_0531,fonfun
DES_0532,NetRevo
DES_0533,Epic Games
DES_0534,Quintet
DES_0535,Focus Multimedia
DES_0536,Phoenix Games
DES_0537,Marvelous Games
DES_0538,Dorart
DES_0539,Codemasters Online
DES_0540,Stainless Games
DES_0541,Aerosoft
DES_0542,Imageworks
DES_0543,Karin Entertainment
DES_0544,Technos Japan Corporation
DES_0545,Masque Publishing
DES_0546,Gakken
DES_0547,New World Computing
DES_0548,Mirai Shounen
DES_0549,Datam Polystar
DES_0550,HuneX
DES_0551,Visco
DES_0552,Saurus
DES_0553,Revolution (Japan)
DES_0554,Giza10
DES_0555,Alvion
DES_0556,Giga
DES_0557,Mycom
DES_0558,Warashi
DES_0559,System Soft
DES_0560,RED Entertainment
DES_0561,Lighthouse Interactive
DES_0562,Michaelsoft
DES_0563,Media Entertainment
DES_0564,Genterprise
DES_0565,"Interworks Unlimited, Inc."
DES_0566,Inti Creates
DES_0567,Boost On
DES_0568,EON Digital Entertainment
DES_0569,Nitroplus
DES_0570,Naxat Soft
DES_0571,Piacci
DES_0572,Paradox Development
DES_0573,Otomate
DES_0574,Ascaron Entertainment
DES_0575,Ongakukan
DES_0576,Commseed
DES_0577,UIG Entertainment
DES_0578,Takuyo
DES_0579,Interchannel-Holon
DES_0580,Red Flagship
