,ID_VIDEOJUEGO,Nombre Videojuego,Año Publicación,Género,Siglas Consola,Nombre Consola,Familia Consolas,Ventas Total,Puntaje Críticos,Puntaje Usuarios,Rating
6562,VID_002704,Tiger Woods PGA Tour 07,2006,Sports,PS2,PlayStation 2,PlayStation,720000,79.0,60.0,E
6583,VID_002896,Tony Hawk's Proving Ground,2007,Sports,PS2,PlayStation 2,PlayStation,660000,65.0,66.0,T
6587,VID_002907,Thrillville,2006,Strategy,PS2,PlayStation 2,PlayStation,660000,69.0,29.0,E10+
6591,VID_002943,Kung Fu Panda,2008,Action,PS2,PlayStation 2,PlayStation,650000,73.0,86.0,E10+
6606,VID_003010,Onimusha: Dawn of Dreams,2006,Action,PS2,PlayStation 2,PlayStation,640000,81.0,89.0,M
6614,VID_003057,Shin Megami Tensei: Persona 3 FES,2007,Role-Playing,PS2,PlayStation 2,PlayStation,630000,89.0,83.0,M
6616,VID_003062,Okami,2006,Action,PS2,PlayStation 2,PlayStation,630000,93.0,93.0,T
6622,VID_003125,Samurai Warriors 2,2006,Action,PS2,PlayStation 2,PlayStation,610000,58.0,88.0,T
6628,VID_003183,NBA 2K8,2007,Sports,PS2,PlayStation 2,PlayStation,600000,72.0,60.0,E
6629,VID_003187,Secret Agent Clank,2009,Platform,PS2,PlayStation 2,PlayStation,600000,61.0,67.0,E10+
6631,VID_003191,Jaws Unleashed,2006,Action,PS2,PlayStation 2,PlayStation,600000,52.0,75.0,M
6641,VID_003251,Silent Hill: Shattered Memories,2010,Action,PS2,PlayStation 2,PlayStation,590000,77.0,68.0,M
6652,VID_003316,Naruto: Uzumaki Chronicles 2,2006,Action,PS2,PlayStation 2,PlayStation,580000,52.0,69.0,T
6661,VID_003360,FIFA World Cup Germany 2006,2006,Sports,PS2,PlayStation 2,PlayStation,570000,77.0,81.0,E
6665,VID_003387,Odin Sphere,2007,Role-Playing,PS2,PlayStation 2,PlayStation,560000,83.0,86.0,T
6666,VID_003393,Arena Football,2006,Sports,PS2,PlayStation 2,PlayStation,560000,66.0,86.0,E10+
6668,VID_003399,NCAA March Madness 07,2007,Sports,PS2,PlayStation 2,PlayStation,560000,63.0,86.0,E
6674,VID_003421,Manhunt 2,2007,Action,PS2,PlayStation 2,PlayStation,560000,67.0,78.0,M
6689,VID_003512,Iron Man,2008,Action,PS2,PlayStation 2,PlayStation,540000,47.0,56.0,T
6698,VID_003558,Over the Hedge,2006,Platform,PS2,PlayStation 2,PlayStation,540000,58.0,86.0,E10+
6717,VID_003650,The Golden Compass,2007,Action,PS2,PlayStation 2,PlayStation,520000,46.0,52.0,E10+
6722,VID_003675,Tomb Raider: Legend,2006,Action,PS2,PlayStation 2,PlayStation,520000,82.0,71.0,T
6732,VID_003737,Ace Combat Zero: The Belkan War,2006,Simulation,PS2,PlayStation 2,PlayStation,510000,75.0,84.0,T
6733,VID_003740,NHL 07,2006,Sports,PS2,PlayStation 2,PlayStation,510000,76.0,46.0,E10+
6734,VID_003747,The BIGS,2007,Sports,PS2,PlayStation 2,PlayStation,510000,71.0,48.0,E
6738,VID_003760,Sonic Riders,2006,Racing,PS2,PlayStation 2,PlayStation,500000,55.0,72.0,E
6741,VID_003775,Hitman: Blood Money,2006,Action,PS2,PlayStation 2,PlayStation,500000,83.0,84.0,M
6743,VID_003778,Crash: Mind Over Mutant,2008,Platform,PS2,PlayStation 2,PlayStation,500000,73.0,65.0,E10+
6769,VID_003885,Shrek the Third,2007,Action,PS2,PlayStation 2,PlayStation,480000,56.0,61.0,E10+
6783,VID_003961,Valkyrie Profile 2: Silmeria,2006,Role-Playing,PS2,PlayStation 2,PlayStation,470000,84.0,90.0,T
6786,VID_003977,NBA Ballers: Phenom,2006,Sports,PS2,PlayStation 2,PlayStation,470000,69.0,85.0,E
6802,VID_004054,Jak and Daxter: The Lost Frontier,2009,Platform,PS2,PlayStation 2,PlayStation,460000,72.0,46.0,E10+
6808,VID_004089,NFL Head Coach,2006,Sports,PS2,PlayStation 2,PlayStation,450000,66.0,69.0,E
6813,VID_004124,Shin Megami Tensei: Persona 3,2006,Role-Playing,PS2,PlayStation 2,PlayStation,450000,86.0,84.0,M
6820,VID_004165,Major League Baseball 2K6,2006,Sports,PS2,PlayStation 2,PlayStation,440000,70.0,52.0,E
6843,VID_004292,Ghostbusters: The Video Game,2009,Action,PS2,PlayStation 2,PlayStation,430000,64.0,87.0,E10+
6849,VID_004306,Dawn of Mana,2006,Role-Playing,PS2,PlayStation 2,PlayStation,430000,57.0,68.0,T
6852,VID_004333,The Legend of Spyro: The Eternal Night,2007,Platform,PS2,PlayStation 2,PlayStation,420000,54.0,54.0,E10+
6853,VID_004337,25 to Life,2006,Shooter,PS2,PlayStation 2,PlayStation,420000,39.0,49.0,M
6863,VID_004390,MLB 08: The Show,2008,Sports,PS2,PlayStation 2,PlayStation,420000,84.0,73.0,E
6865,VID_004401,Thrillville: Off the Rails,2007,Strategy,PS2,PlayStation 2,PlayStation,420000,70.0,17.0,E10+
6868,VID_004421,Pirates of the Caribbean: At World's End,2007,Action,PS2,PlayStation 2,PlayStation,420000,54.0,70.0,T
6876,VID_004445,Crash of the Titans,2007,Action,PS2,PlayStation 2,PlayStation,410000,70.0,59.0,E10+
6879,VID_004462,X-Men: The Official Game,2006,Action,PS2,PlayStation 2,PlayStation,410000,52.0,75.0,T
6898,VID_004556,The Chronicles of Narnia: Prince Caspian,2008,Action,PS2,PlayStation 2,PlayStation,400000,67.0,70.0,T
6909,VID_004627,Fantastic Four: Rise of the Silver Surfer,2007,Action,PS2,PlayStation 2,PlayStation,390000,36.0,64.0,T
6910,VID_004630,Juiced 2: Hot Import Nights,2007,Racing,PS2,PlayStation 2,PlayStation,390000,66.0,67.0,T
6918,VID_004696,Ice Age 2: The Meltdown,2006,Platform,PS2,PlayStation 2,PlayStation,390000,68.0,80.0,E10+
6924,VID_004727,Looney Tunes: Acme Arsenal,2007,Action,PS2,PlayStation 2,PlayStation,380000,38.0,39.0,E10+
6928,VID_004741,Sega Superstars Tennis,2008,Sports,PS2,PlayStation 2,PlayStation,380000,70.0,83.0,E10+
6937,VID_004774,The Incredible Hulk,2008,Action,PS2,PlayStation 2,PlayStation,380000,50.0,60.0,T
6938,VID_004775,Mercenaries 2: World in Flames,2008,Shooter,PS2,PlayStation 2,PlayStation,380000,49.0,74.0,T
6939,VID_004781,MX vs. ATV Untamed,2007,Racing,PS2,PlayStation 2,PlayStation,380000,53.0,82.0,E
6940,VID_004797,Madagascar: Escape 2 Africa,2008,Action,PS2,PlayStation 2,PlayStation,380000,56.0,58.0,E
6943,VID_004821,Super Dragon Ball Z,2006,Fighting,PS2,PlayStation 2,PlayStation,370000,72.0,58.0,T
6948,VID_004845,Rampage: Total Destruction,2006,Action,PS2,PlayStation 2,PlayStation,370000,51.0,70.0,E10+
6950,VID_004850,Spider-Man: Friend or Foe,2007,Action,PS2,PlayStation 2,PlayStation,370000,62.0,83.0,E10+
6951,VID_004884,FIFA Street 2,2006,Sports,PS2,PlayStation 2,PlayStation,370000,59.0,77.0,E
6952,VID_004891,Xenosaga Episode III: Also sprach Zarathustra,2006,Role-Playing,PS2,PlayStation 2,PlayStation,370000,81.0,90.0,T
6953,VID_004902,The Sims 2: Castaway,2007,Simulation,PS2,PlayStation 2,PlayStation,370000,71.0,80.0,T
6954,VID_004908,Dragon Ball Z: Infinite World,2008,Fighting,PS2,PlayStation 2,PlayStation,360000,48.0,79.0,T
6972,VID_004998,Suikoden V,2006,Role-Playing,PS2,PlayStation 2,PlayStation,350000,76.0,76.0,T
6994,VID_005082,Dynasty Warriors 5 Empires,2006,Action,PS2,PlayStation 2,PlayStation,340000,62.0,91.0,T
6997,VID_005101,MotorStorm: Arctic Edge,2009,Racing,PS2,PlayStation 2,PlayStation,340000,72.0,83.0,T
7002,VID_005152,Dynasty Warriors: Gundam 2,2008,Action,PS2,PlayStation 2,PlayStation,340000,52.0,65.0,T
7010,VID_005209,MLB 09: The Show,2009,Sports,PS2,PlayStation 2,PlayStation,330000,79.0,75.0,E
7014,VID_005223,Disgaea 2: Cursed Memories,2006,Role-Playing,PS2,PlayStation 2,PlayStation,330000,84.0,64.0,T
7038,VID_005394,DJ Hero,2009,Misc,PS2,PlayStation 2,PlayStation,320000,87.0,64.0,T
7057,VID_005562,24: The Game,2006,Adventure,PS2,PlayStation 2,PlayStation,300000,62.0,82.0,M
7066,VID_005607,The Sims 2: Pets,2006,Simulation,PS2,PlayStation 2,PlayStation,300000,68.0,80.0,T
7095,VID_005829,Jackass the Game,2007,Action,PS2,PlayStation 2,PlayStation,280000,58.0,66.0,M
7099,VID_005840,Syphon Filter: Dark Mirror,2007,Shooter,PS2,PlayStation 2,PlayStation,280000,70.0,78.0,T
7101,VID_005847,Driver: Parallel Lines,2006,Racing,PS2,PlayStation 2,PlayStation,280000,69.0,69.0,M
7103,VID_005857,Wild ARMs 5,2006,Role-Playing,PS2,PlayStation 2,PlayStation,280000,71.0,75.0,T
7111,VID_005898,Indiana Jones and the Staff of Kings,2009,Action,PS2,PlayStation 2,PlayStation,280000,55.0,75.0,T
7129,VID_006009,Harry Potter and the Order of the Phoenix,2007,Action,PS2,PlayStation 2,PlayStation,270000,61.0,80.0,E10+
7130,VID_006011,Stuntman: Ignition,2007,Racing,PS2,PlayStation 2,PlayStation,270000,71.0,64.0,T
7145,VID_006115,MLB SlugFest 2006,2006,Sports,PS2,PlayStation 2,PlayStation,260000,56.0,75.0,E10+
7165,VID_006249,Teen Titans,2006,Action,PS2,PlayStation 2,PlayStation,250000,56.0,86.0,E10+
7171,VID_006342,The Mummy: Tomb of the Dragon Emperor,2008,Action,PS2,PlayStation 2,PlayStation,250000,38.0,68.0,T
7176,VID_006373,Dynasty Warriors 6,2008,Action,PS2,PlayStation 2,PlayStation,250000,43.0,54.0,T
7177,VID_006378,Pirates of the Caribbean: The Legend of Jack Sparrow,2006,Adventure,PS2,PlayStation 2,PlayStation,250000,51.0,75.0,T
7183,VID_006424,Digimon World: Data Squad,2006,Role-Playing,PS2,PlayStation 2,PlayStation,240000,43.0,80.0,E10+
7201,VID_006584,NASCAR 08,2007,Racing,PS2,PlayStation 2,PlayStation,240000,56.0,82.0,E
7219,VID_006706,Final Fantasy XI: Treasures of Aht Urhgan,2006,Role-Playing,PS2,PlayStation 2,PlayStation,230000,87.0,71.0,T
7245,VID_006875,Guitar Hero: Smash Hits,2009,Misc,PS2,PlayStation 2,PlayStation,220000,69.0,83.0,T
7247,VID_006885,Growlanser: Heritage of War,2006,Role-Playing,PS2,PlayStation 2,PlayStation,220000,60.0,79.0,T
7274,VID_007058,Spider-Man: Web of Shadows,2008,Action,PS2,PlayStation 2,PlayStation,210000,69.0,41.0,E10+
7289,VID_007156,The King of Fighters Collection: The Orochi Saga,2006,Fighting,PS2,PlayStation 2,PlayStation,200000,67.0,85.0,T
7315,VID_007328,Mana Khemia 2: Fall of Alchemy,2008,Role-Playing,PS2,PlayStation 2,PlayStation,200000,70.0,82.0,T
7318,VID_007338,The King of Fighters XI,2006,Fighting,PS2,PlayStation 2,PlayStation,190000,75.0,85.0,T
7338,VID_007481,Phantasy Star Universe,2006,Role-Playing,PS2,PlayStation 2,PlayStation,190000,68.0,85.0,T
7349,VID_007562,Samurai Warriors 2: Empires,2006,Action,PS2,PlayStation 2,PlayStation,190000,55.0,73.0,T
7377,VID_007777,Sonic Riders: Zero Gravity,2008,Racing,PS2,PlayStation 2,PlayStation,180000,56.0,83.0,E
7445,VID_008199,FlatOut 2,2006,Racing,PS2,PlayStation 2,PlayStation,160000,73.0,75.0,T
7447,VID_008253,Arcana Heart,2007,Fighting,PS2,PlayStation 2,PlayStation,160000,77.0,81.0,T
7461,VID_008363,MLB Power Pros 2008,2008,Sports,PS2,PlayStation 2,PlayStation,150000,67.0,85.0,E
7484,VID_008588,G.I. Joe: The Rise of Cobra,2009,Action,PS2,PlayStation 2,PlayStation,140000,50.0,23.0,T
7496,VID_008671,The Da Vinci Code,2006,Action,PS2,PlayStation 2,PlayStation,140000,54.0,80.0,T
7500,VID_008706,Eternal Poison,2008,Role-Playing,PS2,PlayStation 2,PlayStation,140000,65.0,82.0,T
7527,VID_008942,Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon,2008,Role-Playing,PS2,PlayStation 2,PlayStation,130000,79.0,87.0,M
7549,VID_009130,Warriors Orochi 2,2008,Action,PS2,PlayStation 2,PlayStation,130000,52.0,85.0,T
7557,VID_009174,Baroque,2007,Role-Playing,PS2,PlayStation 2,PlayStation,130000,60.0,88.0,T
7566,VID_009270,Puzzle Quest: Challenge of the Warlords,2007,Puzzle,PS2,PlayStation 2,PlayStation,120000,78.0,70.0,E10+
7572,VID_009316,Curious George,2006,Action,PS2,PlayStation 2,PlayStation,120000,53.0,77.0,E
7591,VID_009551,NASCAR 07,2006,Racing,PS2,PlayStation 2,PlayStation,110000,68.0,89.0,E
7594,VID_009561,Dokapon Kingdom,2007,Role-Playing,PS2,PlayStation 2,PlayStation,110000,61.0,65.0,E10+
7602,VID_009634,Coraline,2009,Action,PS2,PlayStation 2,PlayStation,110000,39.0,20.0,E10+
7608,VID_009667,MLB Power Pros,2007,Sports,PS2,PlayStation 2,PlayStation,110000,80.0,88.0,E
7613,VID_009718,Astro Boy: The Video Game,2009,Action,PS2,PlayStation 2,PlayStation,110000,56.0,50.0,E10+
7651,VID_010102,The Ant Bully,2006,Platform,PS2,PlayStation 2,PlayStation,100000,52.0,42.0,E10+
7655,VID_010138,Bee Movie Game,2007,Action,PS2,PlayStation 2,PlayStation,100000,65.0,75.0,E
7664,VID_010270,MotoGP 07,2007,Racing,PS2,PlayStation 2,PlayStation,100000,62.0,91.0,E
7665,VID_010289,Shining Force EXA,2007,Role-Playing,PS2,PlayStation 2,PlayStation,100000,64.0,73.0,E10+
7668,VID_010326,Ar tonelico: Melody of Elemia,2006,Role-Playing,PS2,PlayStation 2,PlayStation,100000,71.0,77.0,T
7671,VID_010366,Barnyard,2006,Action,PS2,PlayStation 2,PlayStation,90000,62.0,87.0,E10+
7707,VID_010676,Nobunaga's Ambition: Iron Triangle,2006,Strategy,PS2,PlayStation 2,PlayStation,90000,76.0,80.0,E10+
7709,VID_010718,Samurai Warriors 2: Xtreme Legends,2007,Action,PS2,PlayStation 2,PlayStation,90000,50.0,80.0,T
7723,VID_010849,TOCA Race Driver 3,2006,Racing,PS2,PlayStation 2,PlayStation,80000,82.0,72.0,E10+
7737,VID_010942,State of Emergency 2,2006,Shooter,PS2,PlayStation 2,PlayStation,80000,44.0,58.0,M
7740,VID_010968,The King of Fighters 2006,2006,Fighting,PS2,PlayStation 2,PlayStation,80000,66.0,86.0,T
7779,VID_011385,Alvin and the Chipmunks,2007,Misc,PS2,PlayStation 2,PlayStation,70000,33.0,45.0,E
7780,VID_011390,Romance of the Three Kingdoms XI,2007,Strategy,PS2,PlayStation 2,PlayStation,70000,69.0,84.0,E10+
7782,VID_011407,Stacked with Daniel Negreanu,2006,Misc,PS2,PlayStation 2,PlayStation,70000,63.0,53.0,T
7785,VID_011440,Aqua Teen Hunger Force: Zombie Ninja Pro-Am,2007,Racing,PS2,PlayStation 2,PlayStation,70000,37.0,59.0,M
7791,VID_011498,Silent Hill: Origins,2008,Action,PS2,PlayStation 2,PlayStation,70000,70.0,74.0,M
7797,VID_011566,BeatMania,2006,Simulation,PS2,PlayStation 2,PlayStation,70000,67.0,89.0,E10+
7810,VID_011667,God Hand,2006,Action,PS2,PlayStation 2,PlayStation,70000,73.0,77.0,M
7821,VID_011749,Full Spectrum Warrior: Ten Hammers,2006,Strategy,PS2,PlayStation 2,PlayStation,70000,71.0,80.0,M
7842,VID_011950,Alone in the Dark,2008,Adventure,PS2,PlayStation 2,PlayStation,60000,47.0,54.0,M
7852,VID_012074,Commandos: Strike Force,2006,Shooter,PS2,PlayStation 2,PlayStation,60000,58.0,85.0,T
7862,VID_012139,The Fast and the Furious,2006,Racing,PS2,PlayStation 2,PlayStation,60000,59.0,66.0,T
7866,VID_012180,Urban Chaos: Riot Response,2006,Shooter,PS2,PlayStation 2,PlayStation,60000,73.0,78.0,M
7867,VID_012181,Tom Clancy's Ghost Recon: Advanced Warfighter,2006,Shooter,PS2,PlayStation 2,PlayStation,60000,44.0,46.0,T
7868,VID_012196,Mana Khemia: Alchemists of Al-Revis,2007,Role-Playing,PS2,PlayStation 2,PlayStation,60000,69.0,75.0,E10+
7888,VID_012343,Final Fight: Streetwise,2006,Action,PS2,PlayStation 2,PlayStation,50000,43.0,62.0,M
7891,VID_012368,Marc Ecko's Getting Up: Contents Under Pressure,2006,Action,PS2,PlayStation 2,PlayStation,50000,69.0,72.0,M
7899,VID_012438,Samurai Champloo: Sidetracked,2006,Action,PS2,PlayStation 2,PlayStation,50000,66.0,72.0,T
7915,VID_012620,OutRun 2006: Coast 2 Coast,2006,Racing,PS2,PlayStation 2,PlayStation,50000,81.0,88.0,E
7933,VID_012734,GrimGrimoire,2007,Strategy,PS2,PlayStation 2,PlayStation,50000,79.0,79.0,E10+
7935,VID_012756,Rugby 06,2006,Sports,PS2,PlayStation 2,PlayStation,50000,70.0,78.0,E
7945,VID_012954,Art of Fighting Anthology,2006,Fighting,PS2,PlayStation 2,PlayStation,40000,60.0,70.0,T
7948,VID_012967,Guilty Gear XX Accent Core,2007,Fighting,PS2,PlayStation 2,PlayStation,40000,77.0,83.0,T
7953,VID_013028,Rogue Trooper,2006,Shooter,PS2,PlayStation 2,PlayStation,40000,71.0,82.0,T
7991,VID_013446,Rugby 08,2007,Sports,PS2,PlayStation 2,PlayStation,40000,74.0,74.0,E
7993,VID_013468,Chaos Wars,2006,Strategy,PS2,PlayStation 2,PlayStation,40000,64.0,69.0,T
7996,VID_013482,Fatal Fury: Battle Archives Volume 1,2006,Fighting,PS2,PlayStation 2,PlayStation,40000,68.0,83.0,T
8018,VID_013667,Women's Volleyball Championship,2007,Sports,PS2,PlayStation 2,PlayStation,30000,32.0,40.0,E
8032,VID_013858,Dance Factory,2006,Action,PS2,PlayStation 2,PlayStation,30000,56.0,58.0,E
8060,VID_014247,Warship Gunner 2,2006,Simulation,PS2,PlayStation 2,PlayStation,30000,62.0,85.0,T
8067,VID_014302,Medal of Honor: Vanguard,2007,Shooter,PS2,PlayStation 2,PlayStation,30000,63.0,61.0,T
8069,VID_014308,Super Monkey Ball Adventure,2006,Platform,PS2,PlayStation 2,PlayStation,30000,53.0,67.0,E
8087,VID_014459,Spy Hunter: Nowhere To Run,2006,Racing,PS2,PlayStation 2,PlayStation,20000,51.0,60.0,T
8088,VID_014486,AMF Xtreme Bowling,2006,Sports,PS2,PlayStation 2,PlayStation,20000,30.0,42.0,E
8106,VID_014633,Rule of Rose,2006,Action,PS2,PlayStation 2,PlayStation,20000,59.0,86.0,M
8108,VID_014640,Pac-Man World Rally,2006,Racing,PS2,PlayStation 2,PlayStation,20000,54.0,74.0,E
8112,VID_014670,Eureka Seven Vol. 2: The New Vision,2006,Shooter,PS2,PlayStation 2,PlayStation,20000,40.0,70.0,T
8131,VID_014879,Ruff Trigger: The Vanocore Conspiracy,2006,Platform,PS2,PlayStation 2,PlayStation,20000,57.0,70.0,E10+
8168,VID_015176,NBA 07,2006,Sports,PS2,PlayStation 2,PlayStation,20000,63.0,68.0,E
8171,VID_015205,Pirates: Legend of the Black Buccaneer,2006,Adventure,PS2,PlayStation 2,PlayStation,20000,42.0,70.0,T
8195,VID_015445,Just Cause,2006,Action,PS2,PlayStation 2,PlayStation,20000,67.0,79.0,M
8225,VID_015676,Metal Slug Anthology,2007,Shooter,PS2,PlayStation 2,PlayStation,10000,80.0,81.0,T
8240,VID_015813,Greg Hastings' Tournament Paintball Max'd,2006,Shooter,PS2,PlayStation 2,PlayStation,10000,70.0,92.0,E10+
8256,VID_015972,Micro Machines V4,2006,Racing,PS2,PlayStation 2,PlayStation,10000,64.0,68.0,E
8330,VID_001725,Cars,2006,Racing,GBA,Game Boy Advance,Nintendo,1130000,50.0,47.0,E
8427,VID_003991,Pirates of the Caribbean: Dead Man's Chest,2006,Adventure,GBA,Game Boy Advance,Nintendo,470000,70.0,56.0,E10+
8534,VID_005806,Final Fantasy VI Advance,2006,Role-Playing,GBA,Game Boy Advance,Nintendo,280000,92.0,84.0,E10+
8557,VID_006138,Final Fantasy V Advance,2006,Role-Playing,GBA,Game Boy Advance,Nintendo,260000,83.0,72.0,E
8777,VID_010328,Castlevania Double Pack,2006,Platform,GBA,Game Boy Advance,Nintendo,100000,86.0,84.0,T
8788,VID_010730,LEGO Star Wars II: The Original Trilogy,2006,Action,GBA,Game Boy Advance,Nintendo,90000,55.0,70.0,E
8792,VID_010777,Monster House,2006,Adventure,GBA,Game Boy Advance,Nintendo,90000,69.0,90.0,E
8843,VID_011692,X-Men: The Official Game,2006,Action,GBA,Game Boy Advance,Nintendo,70000,55.0,93.0,E10+
8963,VID_013742,FIFA World Cup: Germany 2006,2006,Sports,GBA,Game Boy Advance,Nintendo,30000,57.0,69.0,E
8998,VID_014309,Madden NFL 07,2006,Sports,GBA,Game Boy Advance,Nintendo,30000,68.0,93.0,E
9001,VID_014328,Justice League Heroes: The Flash,2006,Action,GBA,Game Boy Advance,Nintendo,30000,72.0,74.0,E10+
9080,VID_000042,Grand Theft Auto V,2014,Action,PS4,PlayStation 4,PlayStation,12610000,97.0,83.0,M
9081,VID_000074,FIFA 16,2015,Sports,PS4,PlayStation 4,PlayStation,8570000,82.0,43.0,E
9083,VID_000088,Call of Duty: Advanced Warfare,2014,Shooter,PS4,PlayStation 4,PlayStation,7660000,83.0,57.0,M
9084,VID_000090,FIFA 17,2016,Sports,PS4,PlayStation 4,PlayStation,7590000,85.0,50.0,E
9085,VID_000101,Fallout 4,2015,Role-Playing,PS4,PlayStation 4,PlayStation,7160000,87.0,65.0,M
9086,VID_000138,FIFA 15,2014,Sports,PS4,PlayStation 4,PlayStation,6080000,82.0,57.0,E
9087,VID_000149,Destiny,2014,Shooter,PS4,PlayStation 4,PlayStation,5640000,76.0,61.0,T
9088,VID_000166,Uncharted 4: A Thief's End,2016,Shooter,PS4,PlayStation 4,PlayStation,5380000,93.0,79.0,T
9090,VID_000224,Uncharted: The Nathan Drake Collection,2015,Action,PS4,PlayStation 4,PlayStation,4620000,86.0,81.0,T
9091,VID_000236,Call of Duty: Infinite Warfare,2016,Shooter,PS4,PlayStation 4,PlayStation,4460000,77.0,34.0,M
9093,VID_000277,Battlefield 1,2016,Shooter,PS4,PlayStation 4,PlayStation,4080000,88.0,84.0,M
9094,VID_000283,Watch Dogs,2014,Action,PS4,PlayStation 4,PlayStation,4050000,80.0,63.0,M
9095,VID_000286,Far Cry 4,2014,Shooter,PS4,PlayStation 4,PlayStation,4040000,85.0,77.0,M
9096,VID_000291,The Witcher 3: Wild Hunt,2015,Role-Playing,PS4,PlayStation 4,PlayStation,3970000,92.0,92.0,M
9097,VID_000292,Assassin's Creed: Unity,2014,Action,PS4,PlayStation 4,PlayStation,3960000,70.0,49.0,M
9098,VID_000293,Batman: Arkham Knight,2015,Action,PS4,PlayStation 4,PlayStation,3950000,87.0,76.0,M
9099,VID_000302,NBA 2K16,2015,Sports,PS4,PlayStation 4,PlayStation,3880000,87.0,67.0,E10+
9100,VID_000311,Call of Duty: Ghosts,2013,Shooter,PS4,PlayStation 4,PlayStation,3830000,78.0,37.0,M
9101,VID_000313,Tom Clancy's The Division,2016,Shooter,PS4,PlayStation 4,PlayStation,3800000,80.0,70.0,M
9102,VID_000345,Battlefield 4,2013,Shooter,PS4,PlayStation 4,PlayStation,3590000,85.0,69.0,M
9103,VID_000375,Metal Gear Solid V: The Phantom Pain,2015,Action,PS4,PlayStation 4,PlayStation,3410000,93.0,82.0,M
9104,VID_000381,Assassin's Creed Syndicate,2015,Action,PS4,PlayStation 4,PlayStation,3390000,76.0,68.0,M
9105,VID_000405,Madden NFL 16,2015,Sports,PS4,PlayStation 4,PlayStation,3240000,83.0,59.0,E
9106,VID_000451,FIFA 14,2013,Sports,PS4,PlayStation 4,PlayStation,3010000,87.0,63.0,E
9107,VID_000461,Middle-Earth: Shadow of Mordor,2014,Action,PS4,PlayStation 4,PlayStation,2960000,84.0,81.0,M
9108,VID_000489,Assassin's Creed IV: Black Flag,2013,Action,PS4,PlayStation 4,PlayStation,2850000,83.0,78.0,M
9109,VID_000508,inFAMOUS: Second Son,2014,Action,PS4,PlayStation 4,PlayStation,2790000,80.0,79.0,T
9110,VID_000517,Mortal Kombat X,2015,Fighting,PS4,PlayStation 4,PlayStation,2780000,83.0,77.0,M
9111,VID_000536,Killzone: Shadow Fall,2013,Shooter,PS4,PlayStation 4,PlayStation,2690000,73.0,68.0,M
9112,VID_000598,Bloodborne,2015,Action,PS4,PlayStation 4,PlayStation,2480000,92.0,86.0,M
9113,VID_000605,NBA 2K15,2014,Sports,PS4,PlayStation 4,PlayStation,2450000,83.0,70.0,E
9115,VID_000678,Far Cry: Primal,2016,Action,PS4,PlayStation 4,PlayStation,2260000,76.0,63.0,M
9116,VID_000702,Tom Clancy's Rainbow Six: Siege,2015,Shooter,PS4,PlayStation 4,PlayStation,2210000,73.0,73.0,M
9117,VID_000717,Madden NFL 15,2014,Sports,PS4,PlayStation 4,PlayStation,2190000,81.0,61.0,E
9118,VID_000735,Overwatch,2016,Shooter,PS4,PlayStation 4,PlayStation,2140000,90.0,61.0,T
9119,VID_000756,Battlefield: Hardline,2015,Shooter,PS4,PlayStation 4,PlayStation,2100000,73.0,50.0,M
9120,VID_000763,Dying Light,2015,Action,PS4,PlayStation 4,PlayStation,2089999,74.0,79.0,M
9121,VID_000779,DriveClub,2014,Racing,PS4,PlayStation 4,PlayStation,2069999,71.0,61.0,E
9122,VID_000816,Dragon Age: Inquisition,2014,Role-Playing,PS4,PlayStation 4,PlayStation,2009999,89.0,74.0,M
9123,VID_000826,Need for Speed Rivals,2013,Racing,PS4,PlayStation 4,PlayStation,1980000,80.0,62.0,E10+
9124,VID_000856,Destiny: The Taken King,2015,Shooter,PS4,PlayStation 4,PlayStation,1930000,86.0,60.0,T
9125,VID_000869,LittleBigPlanet 3,2014,Platform,PS4,PlayStation 4,PlayStation,1910000,79.0,71.0,E
9126,VID_000882,NBA 2K17,2016,Sports,PS4,PlayStation 4,PlayStation,1880000,88.0,67.0,E
9127,VID_000899,Just Cause 3,2015,Action,PS4,PlayStation 4,PlayStation,1860000,73.0,65.0,M
9129,VID_000928,Mafia III,2016,Action,PS4,PlayStation 4,PlayStation,1810000,68.0,51.0,M
9130,VID_000936,The Evil Within,2014,Action,PS4,PlayStation 4,PlayStation,1790000,75.0,73.0,M
9131,VID_000965,Madden NFL 17,2016,Sports,PS4,PlayStation 4,PlayStation,1750000,82.0,49.0,E
9133,VID_000983,The Order: 1886,2015,Shooter,PS4,PlayStation 4,PlayStation,1740000,63.0,66.0,M
9134,VID_000985,Knack,2013,Platform,PS4,PlayStation 4,PlayStation,1730000,54.0,65.0,E10+
9135,VID_000992,The Crew,2014,Racing,PS4,PlayStation 4,PlayStation,1720000,61.0,54.0,T
9136,VID_001012,No Man's Sky,2016,Action,PS4,PlayStation 4,PlayStation,1700000,71.0,45.0,T
9137,VID_001053,Until Dawn,2015,Adventure,PS4,PlayStation 4,PlayStation,1660000,79.0,82.0,M
9138,VID_001063,Dark Souls III,2016,Role-Playing,PS4,PlayStation 4,PlayStation,1650000,89.0,88.0,M
9139,VID_001091,LEGO Marvel Super Heroes,2013,Action,PS4,PlayStation 4,PlayStation,1620000,83.0,77.0,E10+
9140,VID_001156,Wolfenstein: The New Order,2014,Shooter,PS4,PlayStation 4,PlayStation,1550000,79.0,81.0,M
